train,val,test
tumor_069,normal_058,test_001
tumor_021,tumor_051,test_002
tumor_107,normal_106,test_003
normal_105,normal_095,test_004
normal_134,tumor_020,test_005
normal_014,normal_137,test_006
normal_150,tumor_098,test_007
tumor_104,normal_104,test_008
tumor_029,normal_077,test_009
tumor_016,normal_061,test_010
tumor_025,normal_080,test_011
tumor_022,tumor_088,test_012
tumor_056,normal_159,test_013
tumor_108,tumor_068,test_014
normal_096,normal_157,test_015
normal_131,tumor_032,test_016
normal_068,normal_034,test_017
tumor_060,normal_053,test_018
tumor_080,normal_114,test_019
normal_147,tumor_031,test_020
normal_090,tumor_081,test_021
tumor_023,tumor_100,test_022
normal_056,tumor_099,test_023
normal_054,tumor_008,test_024
normal_004,normal_039,test_025
normal_066,normal_008,test_026
normal_065,normal_001,test_027
tumor_101,normal_129,test_028
tumor_046,tumor_003,test_029
tumor_087,tumor_042,test_030
tumor_044,normal_089,test_031
tumor_017,normal_154,test_032
tumor_082,normal_031,test_033
normal_018,tumor_047,test_034
normal_019,normal_009,test_035
tumor_027,tumor_014,test_036
normal_135,tumor_050,test_037
normal_125,normal_029,test_038
tumor_102,normal_083,test_039
normal_030,normal_042,test_040
tumor_007,tumor_079,test_041
tumor_086,normal_070,test_042
normal_028,normal_098,test_043
tumor_054,normal_122,test_044
normal_139,normal_112,test_045
tumor_077,tumor_040,test_046
normal_041,normal_115,test_047
normal_073,tumor_071,test_048
tumor_076,tumor_001,test_050
normal_051,normal_130,test_051
normal_141,tumor_073,test_052
normal_109,normal_063,test_053
tumor_037,tumor_084,test_054
normal_146,normal_121,test_055
tumor_078,,test_056
normal_155,,test_057
normal_024,,test_058
normal_075,,test_059
normal_047,,test_060
normal_085,,test_061
normal_149,,test_062
normal_005,,test_063
normal_037,,test_064
normal_117,,test_065
normal_055,,test_066
normal_023,,test_067
tumor_043,,test_068
tumor_091,,test_069
normal_102,,test_070
tumor_028,,test_071
normal_020,,test_072
normal_140,,test_073
normal_094,,test_074
tumor_061,,test_075
normal_003,,test_076
tumor_110,,test_077
normal_103,,test_078
normal_081,,test_079
normal_156,,test_080
tumor_064,,test_081
tumor_006,,test_082
tumor_090,,test_083
tumor_057,,test_084
tumor_095,,test_085
normal_084,,test_086
tumor_052,,test_087
normal_044,,test_088
tumor_048,,test_089
normal_143,,test_090
normal_101,,test_091
normal_088,,test_092
tumor_009,,test_093
normal_142,,test_094
normal_093,,test_095
tumor_015,,test_096
normal_124,,test_097
tumor_019,,test_098
tumor_067,,test_099
normal_010,,test_100
normal_113,,test_101
normal_025,,test_102
normal_021,,test_103
tumor_045,,test_104
normal_074,,test_105
tumor_012,,test_106
normal_007,,test_107
normal_013,,test_108
tumor_024,,test_109
normal_133,,test_110
normal_128,,test_111
tumor_075,,test_112
tumor_055,,test_113
tumor_002,,test_114
normal_119,,test_115
normal_079,,test_116
tumor_065,,test_117
normal_082,,test_118
tumor_034,,test_119
normal_049,,test_120
tumor_005,,test_121
tumor_074,,test_122
tumor_085,,test_123
normal_036,,test_124
normal_012,,test_125
tumor_096,,test_126
tumor_111,,test_127
normal_145,,test_128
normal_060,,test_129
tumor_033,,test_130
normal_071,,
tumor_083,,
tumor_049,,
tumor_013,,
normal_017,,
normal_062,,
tumor_039,,
normal_153,,
normal_059,,
tumor_026,,
normal_045,,
normal_132,,
tumor_011,,
normal_050,,
normal_108,,
tumor_018,,
normal_151,,
normal_015,,
normal_046,,
normal_033,,
normal_152,,
normal_040,,
normal_160,,
tumor_072,,
tumor_092,,
tumor_066,,
normal_127,,
normal_078,,
normal_076,,
normal_011,,
normal_038,,
tumor_062,,
tumor_010,,
normal_032,,
normal_026,,
tumor_053,,
normal_092,,
normal_118,,
normal_052,,
tumor_105,,
tumor_094,,
normal_144,,
normal_072,,
normal_111,,
normal_126,,
normal_123,,
normal_110,,
normal_057,,
tumor_058,,
tumor_103,,
normal_158,,
tumor_036,,
normal_099,,
tumor_059,,
normal_107,,
normal_002,,
normal_067,,
tumor_097,,
tumor_030,,
tumor_089,,
normal_006,,
normal_138,,
normal_016,,
normal_120,,
normal_035,,
tumor_106,,
normal_100,,
tumor_063,,
tumor_004,,
normal_116,,
normal_043,,
tumor_070,,
normal_091,,
tumor_041,,
normal_022,,
normal_087,,
tumor_109,,
tumor_093,,
normal_064,,
tumor_035,,
normal_097,,
normal_069,,
tumor_038,,
normal_048,,
normal_148,,
normal_136,,
